Date,Open,High,Low,Close,Adj Close,Volume
2020-03-24,400.000000,419.649994,390.049988,401.649994,386.201141,120059
2020-03-25,395.299988,412.000000,391.100006,404.600006,389.037659,92941
2020-03-26,412.000000,433.799988,401.000000,426.399994,409.999146,139196
2020-03-27,445.399994,445.399994,418.450012,423.200012,406.922211,82236
2020-03-30,422.700012,434.850006,403.899994,427.899994,411.441467,95508
2020-03-31,435.000000,455.100006,431.000000,450.250000,432.931763,70471
2020-04-01,459.000000,459.000000,430.750000,434.899994,418.172211,65756
2020-04-03,436.100006,453.899994,424.000000,428.299988,411.826050,104924
2020-04-07,440.000000,482.100006,435.600006,478.399994,459.999023,160545
2020-04-08,478.399994,517.200012,470.299988,488.049988,469.277893,163995
2020-04-09,492.000000,513.500000,480.000000,485.350006,466.681793,136502
2020-04-13,485.350006,492.600006,472.750000,479.750000,461.297150,94970
2020-04-15,479.750000,505.700012,479.750000,502.899994,483.556732,134158
2020-04-16,508.000000,509.299988,492.700012,503.700012,484.325897,109819
2020-04-17,512.000000,514.849976,486.649994,489.149994,470.335571,164934
2020-04-20,493.000000,499.500000,483.000000,493.100006,474.133667,98304
2020-04-21,488.000000,502.799988,484.700012,498.049988,478.893188,111562
2020-04-22,500.000000,504.500000,496.000000,502.750000,483.412445,67632
2020-04-23,513.000000,516.000000,497.399994,499.149994,479.950928,426050
2020-04-24,499.149994,503.299988,494.899994,498.950012,479.758606,56995
2020-04-27,499.549988,503.700012,487.350006,491.600006,472.691315,102506
2020-04-28,494.000000,494.000000,483.000000,487.600006,468.845215,39671
2020-04-29,492.299988,492.299988,475.649994,478.600006,460.191376,82078
2020-04-30,484.000000,495.450012,480.000000,489.350006,470.527863,130953
2020-05-04,487.899994,487.899994,466.149994,468.799988,450.768311,114706
2020-05-05,474.000000,475.500000,450.299988,452.600006,435.191406,88703
2020-05-06,452.399994,458.450012,444.100006,455.700012,438.172211,79118
2020-05-07,455.000000,455.000000,440.000000,442.000000,424.999084,144001
2020-05-08,445.549988,452.000000,442.000000,446.700012,429.518341,71465
2020-05-11,453.950012,454.250000,443.950012,446.500000,429.326080,68987
2020-05-12,446.600006,451.750000,439.250000,443.000000,425.960663,209733
2020-05-13,454.899994,457.100006,442.600006,444.100006,427.018402,57840
2020-05-14,447.000000,460.899994,445.000000,459.049988,441.393341,108171
2020-05-15,464.899994,464.899994,441.500000,443.950012,426.874115,248550
2020-05-18,447.399994,447.399994,430.549988,436.299988,419.518341,138388
2020-05-19,441.000000,447.000000,433.700012,437.299988,420.479889,102543
2020-05-20,436.149994,444.750000,435.049988,439.500000,422.595306,64477
2020-05-21,444.000000,449.250000,439.350006,440.200012,423.268372,61170
2020-05-22,434.000000,443.750000,430.399994,432.200012,415.576111,81860
2020-05-26,432.000000,435.850006,427.600006,433.250000,416.585693,76910
2020-05-27,432.950012,434.500000,424.350006,428.750000,412.258759,183570
2020-05-28,433.399994,451.250000,421.450012,448.000000,430.768372,224367
2020-05-29,445.950012,469.250000,440.549988,466.600006,448.652954,146828
2020-06-01,470.250000,473.149994,462.149994,469.149994,451.104828,193047
2020-06-02,472.000000,476.549988,459.549988,460.799988,443.075958,75490
2020-06-03,464.000000,470.549988,457.500000,463.149994,445.335571,145185
2020-06-04,462.000000,468.500000,458.149994,462.350006,444.566376,63860
2020-06-05,463.950012,466.600006,457.600006,462.649994,444.854858,60173
2020-06-08,466.000000,469.149994,457.299988,458.100006,440.479889,266180
2020-06-09,458.200012,475.899994,458.200012,466.750000,448.797180,604995
2020-06-10,469.799988,473.700012,459.299988,461.500000,443.749084,101845
2020-06-11,461.500000,464.950012,449.149994,450.299988,432.979889,79865
2020-06-12,440.000000,457.000000,431.299988,455.600006,438.075989,91505
2020-06-15,456.000000,460.450012,452.000000,453.100006,435.672150,51577
2020-06-16,456.000000,458.000000,445.899994,448.549988,431.297180,68924
2020-06-17,447.899994,451.450012,438.250000,440.450012,423.508728,145724
2020-06-18,440.899994,443.149994,436.600006,439.950012,423.027985,297639
2020-06-19,null,null,null,null,null,null
2020-06-22,445.850006,449.500000,441.299988,443.149994,426.104919,82064
2020-06-23,444.000000,460.000000,443.200012,458.649994,441.008698,256365
2020-06-24,459.200012,464.799988,450.700012,454.750000,437.258698,195799
2020-06-25,455.000000,465.750000,453.399994,459.200012,441.537537,124248
2020-06-26,464.850006,465.149994,455.100006,458.600006,440.960632,184805
2020-06-29,461.000000,468.950012,458.149994,464.000000,446.152893,270854
2020-06-30,469.000000,472.549988,464.899994,465.750000,447.835663,207192
2020-07-01,470.500000,471.049988,465.700012,466.600006,448.652954,51753
2020-07-02,469.000000,471.149994,464.049988,465.399994,447.499054,130021
2020-07-03,null,null,null,null,null,null
2020-07-06,470.000000,470.049988,464.450012,465.950012,448.027893,76454
2020-07-07,467.000000,481.549988,466.000000,478.500000,460.095215,197081
2020-07-08,482.500000,483.950012,471.000000,473.149994,454.950958,84900
2020-07-09,471.850006,476.750000,467.850006,473.200012,454.999054,44936
2020-07-10,475.299988,478.100006,472.100006,474.149994,455.912476,209656
2020-07-13,475.299988,485.950012,475.049988,484.399994,465.768280,83618
2020-07-14,485.000000,487.950012,476.049988,479.100006,460.672119,75812
2020-07-15,488.000000,488.000000,477.549988,479.600006,461.152893,70738
2020-07-16,484.000000,489.200012,474.450012,487.549988,468.797058,106624
2020-07-17,490.000000,495.000000,483.500000,490.549988,471.681732,142525
2020-07-20,494.350006,502.799988,487.649994,501.100006,481.825928,111476
2020-07-21,500.799988,502.350006,490.649994,491.600006,472.691315,116133
2020-07-22,495.000000,495.000000,478.649994,481.049988,462.547119,192443
2020-07-23,481.049988,486.700012,476.750000,479.399994,460.960571,130382
2020-07-24,480.000000,480.700012,470.000000,471.299988,453.172119,105211
2020-07-27,472.950012,474.200012,463.100006,466.549988,448.604858,77529
2020-07-28,465.000000,476.850006,465.000000,474.750000,456.489410,106140
2020-07-29,476.000000,492.000000,476.000000,489.899994,471.056732,123712
2020-07-30,492.500000,497.500000,481.000000,492.600006,473.652863,410903
2020-07-31,492.000000,514.500000,492.000000,513.450012,493.700897,430300
2020-08-03,513.549988,518.450012,507.399994,509.850006,490.239349,86580
2020-08-04,513.150024,516.000000,506.049988,507.000000,487.498993,58154
2020-08-05,507.899994,511.000000,500.850006,503.000000,483.652832,92890
2020-08-06,503.000000,509.450012,501.549988,506.850006,487.354767,60141
2020-08-07,505.500000,513.000000,505.500000,511.950012,492.258636,96506
2020-08-10,515.000000,528.000000,506.450012,508.200012,488.652893,187458
2020-08-11,509.200012,524.250000,509.200012,513.150024,493.412445,103083
2020-08-12,514.700012,519.599976,502.100006,503.649994,484.277863,99862
2020-08-13,507.100006,508.850006,495.799988,497.649994,480.033569,270642
2020-08-14,499.549988,501.149994,489.200012,496.399994,478.827850,152452
2020-08-17,500.100006,503.649994,491.350006,495.500000,477.959686,78381
2020-08-18,495.049988,499.000000,493.149994,496.899994,479.310150,43559
2020-08-19,496.899994,504.799988,493.100006,494.200012,476.705719,151259
2020-08-20,494.000000,496.600006,489.149994,492.700012,475.258850,48075
2020-08-21,496.100006,498.200012,491.049988,491.950012,474.535400,87197
2020-08-24,495.000000,495.200012,486.799988,490.750000,473.377838,206946
2020-08-25,490.750000,494.000000,486.450012,492.149994,474.728302,97767
2020-08-26,494.100006,502.000000,492.350006,495.950012,478.393799,183004
2020-08-27,498.950012,498.950012,491.399994,492.950012,475.499969,31802
2020-08-28,493.500000,496.000000,487.700012,488.950012,471.641571,60283
2020-08-31,496.000000,496.000000,472.100006,475.049988,458.233612,81259
2020-09-01,478.250000,490.950012,474.000000,488.500000,471.207550,117685
2020-09-02,488.500000,494.600006,488.000000,489.450012,472.123871,75571
2020-09-03,489.500000,497.000000,485.000000,494.799988,477.284454,52646
2020-09-04,491.049988,495.750000,481.549988,483.700012,466.577454,115736
2020-09-07,485.600006,490.750000,478.649994,487.350006,470.098175,67976
2020-09-08,485.000000,490.350006,481.799988,486.200012,468.988922,50151
2020-09-09,485.899994,493.700012,482.500000,492.399994,474.969421,87696
2020-09-10,497.000000,497.000000,489.649994,495.549988,478.007904,89231
2020-09-11,491.049988,511.299988,491.049988,507.850006,489.872528,269608
2020-09-14,514.000000,514.400024,498.500000,504.250000,486.399994,311538
2020-09-15,504.950012,507.750000,499.799988,505.799988,487.895142,81555
2020-09-16,503.000000,512.849976,503.000000,509.649994,491.608795,130354
2020-09-17,512.000000,512.000000,501.299988,502.350006,484.567230,70030
2020-09-18,505.000000,509.899994,498.600006,507.850006,489.872528,199061
2020-09-21,510.000000,510.700012,487.549988,490.799988,473.426117,56863
2020-09-22,493.000000,494.700012,480.000000,492.399994,474.969421,81685
2020-09-23,499.000000,499.000000,484.500000,486.049988,468.844208,56534
2020-09-24,484.799988,490.799988,479.200012,486.700012,469.471252,79806
2020-09-25,490.299988,495.799988,488.750000,492.399994,474.969421,64965
2020-09-28,493.000000,504.600006,492.250000,503.000000,485.194214,65252
2020-09-29,503.899994,510.200012,496.100006,496.950012,479.358368,76602
2020-09-30,499.950012,513.750000,496.450012,510.700012,492.621674,111166
2020-10-01,515.150024,517.000000,510.700012,513.650024,495.467255,131200
2020-10-05,515.000000,521.000000,510.649994,520.049988,501.640656,60961
2020-10-06,524.799988,535.000000,522.000000,526.500000,507.862366,340036
2020-10-07,528.500000,531.450012,521.299988,524.000000,505.450897,68100
2020-10-08,525.000000,527.349976,516.799988,522.250000,503.762787,40408
2020-10-09,522.500000,524.000000,516.299988,518.900024,500.531372,61685
2020-10-12,519.000000,521.200012,513.000000,515.599976,497.348145,34933
2020-10-13,518.000000,524.549988,512.900024,514.250000,496.045990,99104
2020-10-14,519.000000,519.000000,506.549988,517.000000,498.698639,59667
2020-10-15,524.000000,525.500000,515.250000,517.349976,499.036163,102071
2020-10-16,519.400024,523.799988,510.899994,512.049988,493.923889,73195
2020-10-19,514.150024,521.700012,510.649994,519.599976,501.206573,67240
2020-10-20,523.450012,530.150024,519.049988,528.049988,509.357422,157760
2020-10-21,530.000000,532.500000,508.000000,515.799988,497.541077,147494
2020-10-22,515.799988,516.500000,505.350006,507.299988,489.341949,92829
2020-10-23,509.899994,520.000000,509.899994,518.950012,500.579590,113534
2020-10-26,521.900024,521.900024,509.850006,513.799988,495.611877,66279
2020-10-27,510.000000,526.200012,510.000000,522.950012,504.437988,129540
2020-10-28,522.250000,525.750000,515.400024,516.700012,498.409302,34075
2020-10-29,511.200012,522.400024,509.350006,519.750000,501.351288,57332
2020-10-30,518.000000,524.049988,508.500000,511.549988,493.441559,78903
